table,field,dtype,description,primary,schema_origin,source_url
cpt_jyc_2026_stock_bar1m,bid_volume3,np.int32,3档委买量,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_volume4,np.int32,4档委买量,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_volume5,np.int32,5档委买量,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_num_orders1,np.int32,卖1档委托笔数,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_num_orders2,np.int32,卖2档委托笔数,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_num_orders3,np.int32,卖3档委托笔数,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_num_orders4,np.int32,卖4档委托笔数,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,ask_num_orders5,np.int32,卖5档委托笔数,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_num_orders1,np.int32,买1档委托笔数,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_num_orders2,np.int32,买2档委托笔数,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_num_orders3,np.int32,买3档委托笔数,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_num_orders4,np.int32,买4档委托笔数,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_stock_bar1m,bid_num_orders5,np.int32,买5档委托笔数,,competition_page,https://bigquant.com/square/competition/45b41c7a-0ac8-42e9-9fe3-0c33dcfb9bca?activeKey=data
cpt_jyc_2026_instruments,date,timestamp[ns],日期,true,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_instruments
cpt_jyc_2026_instruments,instrument,string,证券代码,true,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_instruments
cpt_jyc_2026_instruments,name,string,证券简称,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_instruments
cpt_jyc_2026_instruments,__PARTITION__,int64,,,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_instruments
cpt_jyc_2026_exposure,date,timestamp[ns],日期,true,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,instrument,string,证券代码,true,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,SIZE,double,风格因子: 市值,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,BETA,double,风格因子: 贝塔,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,MOMENTUM,double,风格因子: 传统动量,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,RESVOL,double,风格因子: 残差波动率,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,SIZENL,double,风格因子: 非线性市值,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,BTOP,double,风格因子: 账面市值比,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,LIQUIDTY,double,风格因子: 流动性,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,EARNYILD,double,风格因子: 盈利能力,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,GROWTH,double,风格因子: 成长,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,LEVERAGE,double,风格因子: 杠杆,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,industry_level1_code,string,一级行业代码,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,float_market_cap,double,流通市值,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,weights,double,市值权重（截面归一化）,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,ret,double,当期收益率,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,AGRIFOREST,int8,行业哑变量: 是否属于农林牧渔. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,MINING,int8,行业哑变量: 是否属于采掘. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,CHEM,int8,行业哑变量: 是否属于化工. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,IRONSTEEL,int8,行业哑变量: 是否属于钢铁. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,NONFERMETAL,int8,行业哑变量: 是否属于有色金属. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,ELECTRONICS,int8,行业哑变量: 是否属于电子. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,AUTO,int8,行业哑变量: 是否属于汽车. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,HOUSEAPP,int8,行业哑变量: 是否属于家用电气. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,FOODBEVER,int8,行业哑变量: 是否属于食品饮料. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,TEXTILE,int8,行业哑变量: 是否属于纺织服饰. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,LIGHTINDUS,int8,行业哑变量: 是否属于轻工制造. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,HEALTH,int8,行业哑变量: 是否属于医药生物. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,UTILITIES,int8,行业哑变量: 是否属于公用事业. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,TRANSPORTATION,int8,行业哑变量: 是否属于交通运输. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,REALESTATE,int8,行业哑变量: 是否属于房地产. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,COMMETRADE,int8,行业哑变量: 是否属于商业贸易. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,LEISERVICE,int8,行业哑变量: 是否属于休闲服务. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,BANK,int8,行业哑变量: 是否属于银行. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,NONBANKFINAN,int8,行业哑变量: 是否属于非银金融. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,CONGLOMERATES,int8,行业哑变量: 是否属于综合. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,CONMAT,int8,行业哑变量: 是否属于建筑材料. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,BUILDDECO,int8,行业哑变量: 是否属于建筑装饰. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,ELECEQP,int8,行业哑变量: 是否属于电气设备. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,MACHIEQUIP,int8,行业哑变量: 是否属于机械设备. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,AERODEF,int8,行业哑变量: 是否属于国防军工. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,COMPUTER,int8,行业哑变量: 是否属于计算机. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,MEDIA,int8,行业哑变量: 是否属于传媒. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,TELECOM,int8,行业哑变量: 是否属于通信. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,COAL,int8,行业哑变量: 是否属于煤炭. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,PETRO,int8,行业哑变量: 是否属于石油石化. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,ENVP,int8,行业哑变量: 是否属于环保. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,BEAUTY,int8,行业哑变量: 是否属于美容护理. 0: 不属于; 1: 属于,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_exposure,__PARTITION__,int64,,,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_exposure
cpt_jyc_2026_vwap,date,timestamp[ns],采样时点（未来30分钟窗口起点）,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_vwap
cpt_jyc_2026_vwap,instrument,string,股票或指数代码,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_vwap
cpt_jyc_2026_vwap,vwap_return,float,窗口终点价格相对未来30分钟VWAP的收益率,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_vwap
cpt_jyc_2026_vwap,vwap,float,未来30分钟成交量加权平均价,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_vwap
cpt_jyc_2026_vwap,end_price,float,未来30分钟窗口终点最新有效成交价,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_vwap
cpt_jyc_2026_vwap,volume,int64,未来30分钟成交量,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_vwap
cpt_jyc_2026_vwap,amount,double,未来30分钟成交额（元）,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_vwap
cpt_jyc_2026_vwap,num_trades,int32,未来30分钟成交笔数,false,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_vwap
cpt_jyc_2026_vwap,__PARTITION__,int64,,,authenticated_datasource_metadata,https://jinyicapital.bigquant.com/bigapis/data/v1/spacedatasources/spaces/db3bf8c9-0b87-4b89-a17a-d42cb0b7567b/datasources/cpt_jyc_2026_vwap
